name	diet	period	lived_in	type	length_m	taxonomy	named_in	species	flight		
euhelopus	herbivorous	Late Jurassic	East Asia	sauropod	10	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda	1929	zdanskyi	no		
euoplocephalus	herbivorous	Late Cretaceous	North America	armoured dinosaur	7	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae	2000	tutus	no		
europasaurus	herbivorous	Late Jurassic	West Europe	sauropod	6.2	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria	2006	holgeri	no		
eustreptospondylus	carnivorous	Mid Jurassic	West Europe	large theropod	7	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae	1964	oxoniensis	no		
fukuiraptor	carnivorous	Early Cretaceous	East Asia	large theropod	4.2	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria	2000	kitadaniensis	no		
fukuisaurus	herbivorous	Early Cretaceous	East Asia	euornithopod	4.7	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea	2003	tetoriensius	no		
gallimimus	omnivorous	Late Cretaceous	East Asia	large theropod	6	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae	1972	bullatus	no		
gargoyleosaurus	herbivorous	Late Jurassic	North America	armoured dinosaur	4	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria	1998	parkpinorum	no		
garudimimus	omnivorous	Late Cretaceous	East Asia	large theropod	4.7	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria	1981	brevipes	no		
gasosaurus	carnivorous	Mid Jurassic	East Asia	small theropod	4	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda	1985	constructus	no		
gasparinisaura	herbivorous	Late Cretaceous	South America	euornithopod	0.8	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda	1996	cincosaltensis	no		
gastonia	herbivorous	Early Cretaceous	North America	armoured dinosaur	4.6	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria	1998	burgei	no		
giganotosaurus	carnivorous	Early Cretaceous	South America	large theropod	12.5	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae	1995	carolinii	no		
gilmoreosaurus	herbivorous	Late Cretaceous	East Asia	euornithopod	6	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae	1979	mongoliensis	no		
giraffatitan	herbivorous	Late Jurassic	East Africa	sauropod	23	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae	1914	brancai	no		
gobisaurus	herbivorous	Early Cretaceous	East Asia	armoured dinosaur	5	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae	2001	domoculus	no		
gorgosaurus	carnivorous	Late Cretaceous	North America	large theropod	8.6	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae	1914	libratus	no		
goyocephale	herbivorous	Late Cretaceous	East Asia	large theropod	2	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala	1982	lattimorei	no		
graciliceratops	herbivorous	Late Cretaceous	East Asia	ceratopsian	2	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia	2000	mongoliensis	no		
gryposaurus	herbivorous	Late Cretaceous	North America	euornithopod	10	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae	1914	notabilis	no		
guaibasaurus	herbivorous	Late Triassic	South America	small theropod	1.8	Dinosauria Saurischia Theropoda	1999	candelariensis	no		
guanlong	carnivorous	Late Jurassic	East Asia	small theropod	3	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea	2006	wucaii	no		
hadrosaurus	herbivorous	Late Cretaceous	North America	euornithopod	9	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae	1858	foulkii	no		
hagryphus	omnivorous	Late Cretaceous	North America	small theropod	3	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria	2005	giganteus	no		
haplocanthosaurus	herbivorous	Late Jurassic	North America	sauropod	21.5	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae	1903	priscus	no		
harpymimus	omnivorous	Early Cretaceous	East Asia	small theropod	2	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria	1984	okladnikovi	no		
herrerasaurus	carnivorous	Late Triassic	South America	small theropod	3	Dinosauria Saurischia Theropoda Herrerasauridae	1963	ischigualastensis	no		
