name,diet,period,lived_in,type,length (m),taxonomy,named_in,species,flight,,
edmontosaurus,herbivorous,Late Cretaceous,Canada,euornithopod,13,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,1917,regalis,no,,
einiosaurus,herbivorous,Late Cretaceous,USA,ceratopsian,6,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,1995,procurvicornis,no,,
elaphrosaurus,carnivorous,Late Jurassic,Tanzania,large theropod,6.2,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,1920,bambergi,no,,
emausaurus,herbivorous,Mid Jurassic,Germany,armoured dinosaur,2,Dinosauria Ornithischia Genasauria Thyreophora,1991,ernsti,no,,
eolambia,herbivorous,Late Cretaceous,USA,euornithopod,6,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,1998,caroljonesa,no,,
eoraptor,carnivorous,Late Triassic,Argentina,small theropod,1,Dinosauria Saurischia Theropoda,1993,lunensis,no,,
eotyrannus,carnivorous,Early Cretaceous,United Kingdom,large theropod,5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,2001,lengi,no,,
equijubus,herbivorous,Early Cretaceous,China,euornithopod,7,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,2003,normani,no,,
erketu,herbivorous,Early Cretaceous,Mongolia,sauropod,15,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,2006,ellisoni,no,,
erlikosaurus,omnivorous,Late Cretaceous,Mongolia,small theropod,3.4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,1980,andrewsi,no,,
euhelopus,herbivorous,Late Jurassic,China,sauropod,10,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,1929,zdanskyi,no,,
euoplocephalus,herbivorous,Late Cretaceous,USA,armoured dinosaur,7,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,2000,tutus,no,,
europasaurus,herbivorous,Late Jurassic,Germany,sauropod,6.2,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,2006,holgeri,no,,
eustreptospondylus,carnivorous,Mid Jurassic,United Kingdom,large theropod,7,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,1964,oxoniensis,no,,
fukuiraptor,carnivorous,Early Cretaceous,Japan,large theropod,4.2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,2000,kitadaniensis,no,,
fukuisaurus,herbivorous,Early Cretaceous,Japan,euornithopod,4.7,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,2003,tetoriensius,no,,
gallimimus,omnivorous,Late Cretaceous,Mongolia,large theropod,6,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,1972,bullatus,no,,
gargoyleosaurus,herbivorous,Late Jurassic,USA,armoured dinosaur,4,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,1998,parkpinorum,no,,
garudimimus,omnivorous,Late Cretaceous,Mongolia,large theropod,4.7,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,1981,brevipes,no,,
gasosaurus,carnivorous,Mid Jurassic,China,small theropod,4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda,1985,constructus,no,,
gasparinisaura,herbivorous,Late Cretaceous,Argentina,euornithopod,0.8,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,1996,cincosaltensis,no,,
gastonia,herbivorous,Early Cretaceous,USA,armoured dinosaur,4.6,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,1998,burgei,no,,
giganotosaurus,carnivorous,Early Cretaceous,Argentina,large theropod,12.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,1995,carolinii,no,,
gilmoreosaurus,herbivorous,Late Cretaceous,China,euornithopod,6,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,1979,mongoliensis,no,,
